stateid,wave1 - weekid,wave2 - weekid,wave1 - monthid,wave2 - monthid
AN,16,53,4,13
AP,19,55,5,13
AR,19,65,6,14
AS,19,56,5,14
BR,16,53,4,13
CH,20,54,5,13
CT,20,52,6,13
DL,20,52,7,13
DN,16,52,4,13
GA,19,54,6,13
GJ,20,53,8,13
HP,20,54,8,13
HR,20,54,8,13
JH,19,52,5,13
JK,20,54,6,13
KA,19,54,6,13
KL,20,54,7,13
LA,7,51,7,13
MH,20,52,5,13
ML,20,56,6,14
MN,19,65,7,16
MP,20,52,6,13
MZ,20,66,7,16
NL,14,55,7,14
OR,20,56,6,14
PB,20,54,5,13
PY,18,55,5,13
RJ,20,54,8,13
SK,16,57,6,14
TG,18,53,5,13
TN,13,56,5,14
TR,19,56,5,14
UP,20,52,5,13
UT,20,54,6,13
WB,17,55,7,13
